"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.245845834E-2,1.411645766E-4,-7.013005415E-3,-2.642941475E-3,7.495819637E-3
8.249145834E-2,-1.179300257E-2,-1.725135326E-3,7.535306811E-3,1.410077481E-2
9.252445833E-2,-1.483291517E-2,3.026259580E-3,7.832930088E-3,1.704489405E-2
1.025584583E-1,-1.546159135E-3,2.556032664E-4,1.381697059E-2,1.390556066E-2
1.125914583E-1,2.470375523E-3,2.756785165E-3,6.329026222E-3,7.332066052E-3
1.226244583E-1,1.535536389E-2,2.830787846E-3,2.283337712E-3,1.578018349E-2
1.326574583E-1,4.413505783E-3,1.855031450E-3,2.159142852E-2,2.211583054E-2
1.426914583E-1,1.464503682E-2,-1.439079486E-2,-2.060558796E-3,2.063535759E-2
1.527244583E-1,2.654288728E-3,-3.612154014E-3,4.825122356E-3,6.585947998E-3
1.627574583E-1,-3.881747201E-3,-1.232565308E-2,2.084298491E-2,2.452385992E-2
1.727914583E-1,-4.923264217E-4,2.138179442E-3,1.934609771E-2,1.947012309E-2
1.828244583E-1,-3.932142891E-3,1.534275126E-3,2.054360747E-2,2.097273363E-2
1.928574583E-1,-2.776961485E-3,-1.265421978E-3,7.371000051E-3,7.977747153E-3
2.028904583E-1,-3.228923846E-3,6.698239062E-3,1.081384063E-2,1.312370012E-2
2.129244583E-1,9.289389281E-3,3.079770739E-3,1.470399320E-2,1.766310157E-2
2.229574583E-1,-4.640012300E-3,7.966015914E-3,1.260835111E-2,1.561914343E-2
2.329904583E-1,-6.848734058E-4,5.571758120E-3,4.701161385E-3,7.322189460E-3
2.430234583E-1,1.830031405E-2,7.750306761E-3,9.150892496E-4,1.989487717E-2
2.530574583E-1,4.654365387E-3,-2.422166829E-3,1.214525163E-2,1.323016049E-2
2.630904583E-1,2.566014044E-4,1.129151703E-2,5.101110935E-3,1.239296308E-2
2.731234583E-1,-9.004163928E-4,2.810562418E-3,3.152818680E-3,4.318596579E-3
2.831564583E-1,2.265458023E-3,-1.747209707E-4,1.258145392E-2,1.278498378E-2
2.931904583E-1,-6.672778549E-3,-1.528953246E-3,1.424849510E-2,1.580769699E-2
3.032234583E-1,-1.162636606E-3,4.782554170E-4,-2.372215390E-3,2.684745422E-3
3.132564583E-1,5.585799431E-3,-4.248606308E-3,8.559154272E-3,1.106846569E-2
3.232894583E-1,-1.025515744E-2,-1.687836485E-3,5.288221836E-3,1.166114644E-2
3.333234583E-1,-7.041673902E-3,2.501546207E-4,6.038419604E-3,9.279561412E-3
3.433564583E-1,9.262062684E-3,-6.529803848E-3,1.247269571E-2,1.685207055E-2
3.533894583E-1,-2.862586649E-3,-4.864431177E-3,1.740833044E-2,1.830046616E-2
3.634224583E-1,5.515678525E-3,-4.076494885E-3,1.890521765E-2,2.011088696E-2
3.734564583E-1,3.398081968E-3,-7.978233397E-3,9.916293025E-3,1.317315591E-2
3.834894583E-1,3.111458765E-3,-1.390622057E-2,6.338381767E-4,1.426414726E-2
3.935224583E-1,-1.913282052E-3,-4.720820363E-3,1.770069122E-2,1.841904620E-2
4.035564583E-1,4.520327104E-3,1.147731802E-2,6.466435790E-3,1.392756181E-2
4.135894583E-1,4.091552608E-3,1.797490051E-3,1.035424948E-2,1.127751105E-2
4.236224583E-1,6.239901865E-3,-2.547015161E-3,1.350414455E-2,1.509256710E-2
4.336554583E-1,9.284081105E-3,-7.358698058E-3,1.799188256E-2,2.154187636E-2
4.436894583E-1,1.394573724E-2,6.278158872E-3,1.066064358E-2,1.864264433E-2
4.537224583E-1,7.762900544E-3,1.121468325E-2,4.824537635E-3,1.446747762E-2
4.637554583E-1,-2.916965755E-3,-5.178884614E-3,1.440636992E-2,1.558438415E-2
4.737884583E-1,1.069693286E-3,-7.261450411E-3,1.395613432E-2,1.576853167E-2
4.838224583E-1,-5.991724106E-3,-8.111469971E-4,1.534894109E-3,6.238158152E-3
4.938554583E-1,-1.750510186E-5,-1.129134915E-2,4.870730639E-4,1.130186322E-2
5.038884583E-1,1.316135153E-3,5.888979847E-4,2.585054040E-3,2.959985974E-3
5.139214583E-1,-7.459896002E-3,-5.649140080E-3,1.007182896E-2,1.374789332E-2
5.239554583E-1,1.577131106E-3,-4.971124590E-3,1.157397866E-2,1.269473924E-2
5.339884583E-1,-8.472624617E-3,5.395729520E-3,8.583127856E-3,1.321246944E-2
5.440214583E-1,-9.129970428E-4,5.445312081E-3,1.157573283E-2,1.282507613E-2
5.540544583E-1,-5.278637884E-3,1.205960705E-2,1.621608317E-2,2.088682584E-2
5.640884583E-1,-9.593225224E-3,9.648800039E-3,3.190825582E-3,1.397535976E-2
5.741214583E-1,-5.096798614E-3,3.071649733E-4,-1.899175644E-3,5.447804563E-3
5.841544583E-1,2.537600230E-3,-8.432788176E-3,-6.838903427E-3,1.114997450E-2
5.941884583E-1,2.106486848E-3,-4.601121463E-3,1.840703487E-3,5.384774358E-3
6.042214583E-1,3.832329093E-3,-3.240134055E-4,9.026346803E-3,9.811557856E-3
6.142544583E-1,2.867291830E-3,4.039306822E-3,-5.496382713E-3,7.399161100E-3
6.242874583E-1,-1.209361341E-2,2.650959698E-3,7.676809430E-3,1.456765169E-2
6.343214583E-1,4.728022031E-3,8.029155565E-3,1.890287876E-2,2.107463776E-2
6.443544583E-1,2.880694745E-3,8.888441592E-4,9.373086691E-4,3.157054592E-3
6.543874583E-1,2.833222663E-3,5.869483037E-3,7.971509099E-3,1.029674410E-2
6.644204583E-1,-1.492328206E-3,9.690944531E-3,1.985129714E-3,1.000410862E-2
6.744544583E-1,-1.289801669E-2,-3.793698640E-3,1.336205721E-2,1.895509316E-2
6.844874583E-1,-2.286800360E-3,4.345189291E-3,1.411050081E-2,1.494042700E-2
6.945204583E-1,-3.090454470E-3,-2.849777592E-3,1.755392611E-2,1.805027598E-2
7.045534583E-1,7.859781599E-3,3.305385327E-3,4.528668523E-3,9.654562524E-3
7.145874583E-1,1.014930457E-3,6.483100355E-5,5.129177570E-3,5.229029493E-3
7.246204583E-1,1.555980630E-3,-2.625518600E-3,1.680548251E-2,1.708035907E-2
7.346534583E-1,7.234549792E-3,-3.303360500E-3,1.096820712E-2,1.354815370E-2
7.446874583E-1,8.026335882E-3,9.437009777E-3,3.782563806E-3,1.295326253E-2
7.547204583E-1,-1.360740272E-2,5.473588851E-3,2.039508820E-2,2.512132971E-2
7.647534583E-1,-2.393036960E-3,-5.418731233E-3,1.336030304E-2,1.461461500E-2
7.747864583E-1,-4.458593298E-3,-8.147850616E-3,8.569679260E-3,1.263748102E-2
7.848204583E-1,1.233608100E-2,-4.778605015E-3,1.036711335E-2,1.680746856E-2
7.948534583E-1,9.348172070E-3,1.256590626E-3,7.822405100E-3,1.225387133E-2
8.048864583E-1,2.658747230E-4,2.994973550E-3,-3.704211116E-3,4.770926108E-3
8.149194583E-1,1.011349037E-3,-4.000369163E-3,1.515832186E-2,1.570988548E-2
8.249534583E-1,-9.237559196E-3,-1.174376719E-3,1.650844395E-2,1.895363771E-2
8.349864583E-1,-5.714657446E-3,1.757120281E-3,7.674470544E-3,9.728426365E-3
8.450194583E-1,-2.698745839E-3,-5.473267939E-3,8.272640705E-3,1.027990638E-2
8.550524583E-1,-1.248100972E-2,7.585120064E-3,5.277696848E-3,1.552944732E-2
8.650864583E-1,1.054554479E-2,4.422881885E-4,1.276388705E-2,1.656263706E-2
8.751194583E-1,1.015481374E-2,2.534335154E-3,1.501214147E-2,1.830047781E-2
8.851524583E-1,1.145962905E-4,-8.133358201E-3,7.079223990E-3,1.078332325E-2
8.951854583E-1,4.263844471E-3,3.184562665E-5,1.830646276E-2,1.879648804E-2
9.052194583E-1,2.430833727E-3,9.528209211E-3,-1.154825091E-3,9.900976940E-3
9.152524583E-1,-4.458931340E-3,1.176336450E-3,-6.096307039E-3,7.644003902E-3
