"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.702562500E-2,1.293672480E-2,9.298000790E-3,1.048698127E-2,1.907323894E-2
2.705862500E-2,5.605136356E-3,5.501998667E-3,5.696357489E-3,9.702475537E-3
3.709262500E-2,-9.155450355E-3,-5.509626314E-3,-1.121788323E-2,1.549255168E-2
4.712562500E-2,8.402510562E-3,3.616514301E-4,4.798225164E-3,9.682765113E-3
5.715862500E-2,-5.755579962E-3,1.773900191E-3,1.243176520E-2,1.381384119E-2
6.719162500E-2,-3.075755347E-3,2.001505915E-3,3.451026678E-3,5.037447966E-3
7.722462500E-2,6.092564593E-3,-3.132106175E-3,7.941103578E-3,1.048763836E-2
8.725762500E-2,-3.029041576E-3,-6.494147253E-3,-4.333371520E-3,8.374195492E-3
9.729162500E-2,6.331807076E-3,1.425042971E-3,-5.381192565E-3,8.430881433E-3
1.073246250E-1,1.599157179E-2,1.989537966E-4,6.893282533E-3,1.741514556E-2
1.173576250E-1,-6.714325757E-3,6.107722243E-3,-1.189908385E-3,9.154360892E-3
1.273906250E-1,9.622986638E-3,-2.893540347E-3,-7.326561213E-3,1.243595379E-2
1.374236250E-1,2.384271846E-3,-7.054874106E-3,7.791999578E-3,1.077827715E-2
1.474576250E-1,4.791704149E-3,4.947568420E-3,5.846046209E-3,9.034108600E-3
1.574906250E-1,1.474100311E-2,5.995411734E-4,6.744178534E-3,1.622160801E-2
1.675236250E-1,7.541196282E-3,7.491579460E-3,3.900092840E-3,1.132272619E-2
1.775566250E-1,-9.253819480E-3,3.947339656E-3,2.410807014E-3,1.034536881E-2
1.875896250E-1,-1.167010597E-3,4.053996239E-3,1.664117575E-2,1.716757203E-2
1.976226250E-1,1.941393226E-3,-1.947807462E-3,1.810297966E-3,3.292436832E-3
2.076566250E-1,-5.535680114E-3,-3.014145166E-3,-6.719035506E-3,9.212722916E-3
2.176896250E-1,4.217978090E-3,1.418871646E-2,-5.073044300E-3,1.564758104E-2
2.277226250E-1,2.069439255E-3,1.138779795E-3,1.618158460E-2,1.635307550E-2
2.377556250E-1,-2.587801774E-3,-6.942191294E-3,9.897581935E-3,1.236336791E-2
2.477886250E-1,2.513164122E-3,-8.434920354E-3,1.672303677E-4,8.802945035E-3
