"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.681601260E-1,-6.327129900E-3,3.641679883E-3,6.788253784E-3,9.968690716E-3
3.730148140E-1,-2.044060081E-2,-5.824059248E-3,-2.747535706E-3,2.143097712E-2
3.778695530E-1,1.284119487E-2,2.732233703E-2,-3.490447998E-4,3.019152561E-2
3.827242410E-1,-1.099181920E-2,8.078932762E-3,-7.425308228E-3,1.553140194E-2
3.875789800E-1,8.056700230E-3,-1.325625926E-2,-2.600669861E-3,1.572902769E-2
3.924337200E-1,-1.517936587E-3,-3.902478516E-2,-9.648323059E-3,4.022844921E-2
3.972884070E-1,-1.099280268E-2,-1.491339505E-2,1.173877716E-2,2.193285097E-2
4.021431470E-1,3.365263343E-3,2.546691895E-2,9.217262268E-3,2.729188307E-2
4.069978340E-1,8.113160729E-3,3.893122077E-3,-9.804725647E-3,1.330835909E-2
4.118525740E-1,-1.085821539E-2,-1.973389089E-2,-9.677886963E-3,2.451507265E-2
4.167072610E-1,2.001433820E-2,-1.709280163E-2,2.262115479E-3,2.641694092E-2
4.215620010E-1,-3.896020353E-3,2.805987000E-2,-9.584426880E-3,2.990646281E-2
4.264167410E-1,-1.568687335E-2,3.009730577E-2,4.719734192E-3,3.426662664E-2
4.312714280E-1,-3.689974546E-3,-1.284053177E-2,-6.771087646E-5,1.336037997E-2
4.361261680E-1,1.055433601E-2,-5.564972758E-3,2.297401428E-3,1.215076062E-2
4.409808550E-1,3.369882703E-3,1.347754896E-2,6.999015808E-3,1.555592034E-2
4.458355950E-1,1.277305931E-2,-5.583420396E-3,-2.546310425E-3,1.417072067E-2
4.506902820E-1,-3.958225250E-3,1.575559378E-3,-1.434707642E-2,1.496624656E-2
4.555450220E-1,5.533739924E-3,3.918752074E-3,-7.081031799E-3,9.804076025E-3
4.603997610E-1,-1.581918076E-2,-3.230780363E-3,-6.999969482E-3,1.759784062E-2
4.652544490E-1,-2.270079404E-2,-8.031427860E-4,-4.554748535E-3,2.316714964E-2
4.701091890E-1,1.546836644E-2,2.760751545E-2,2.597808838E-3,3.175206892E-2
4.749638760E-1,-1.783936843E-2,6.047010422E-3,7.303237915E-3,2.020264055E-2
4.798186160E-1,-1.289824396E-2,-1.069307327E-3,2.486228943E-3,1.317912933E-2
4.846733030E-1,1.430891454E-3,-2.474295348E-2,-2.276420593E-3,2.488861764E-2
4.895280430E-1,-1.281414181E-2,-1.027128100E-2,-4.620552063E-3,1.706021527E-2
4.943827300E-1,-7.902033627E-3,2.536292374E-2,2.533912659E-3,2.668596540E-2
4.992374700E-1,-1.020728052E-2,3.742322326E-3,1.392364502E-4,1.087257737E-2
5.040922090E-1,-1.959712058E-2,-1.048712432E-2,-6.969451904E-3,2.329377968E-2
5.089468970E-1,1.378625631E-2,2.281734347E-2,-1.163578033E-2,2.908751296E-2
5.138016360E-1,-1.718044654E-2,1.253455877E-3,3.299713135E-4,1.722927090E-2
5.186563240E-1,-2.650650963E-2,1.236498356E-3,3.271102905E-4,2.653735070E-2
5.235110640E-1,4.580125213E-3,-2.005372941E-2,-1.863861084E-2,2.775837575E-2
5.283657510E-1,-1.438982412E-2,1.332582533E-2,7.619857788E-3,2.104060103E-2
5.332204910E-1,-4.756718874E-3,-3.374680877E-3,1.228713989E-2,1.360105335E-2
5.380752300E-1,1.420690864E-2,-3.316938877E-3,-4.428863525E-3,1.524641495E-2
5.429299180E-1,1.876387745E-2,-1.751603931E-2,5.098342896E-3,2.617036168E-2
5.477846570E-1,1.385249943E-2,-2.206750214E-2,5.049705505E-3,2.653989293E-2
5.526393450E-1,8.987911046E-3,6.623595953E-3,2.630233765E-3,1.147051429E-2
5.574940840E-1,-1.954725385E-2,2.315923572E-2,-1.399707794E-2,3.338208386E-2
5.623487720E-1,4.362165928E-3,6.337001920E-3,-2.006530762E-3,7.950613222E-3
5.672035110E-1,4.302598536E-3,3.931269050E-3,-9.104728699E-3,1.081033372E-2
5.720582510E-1,1.370339096E-2,4.422113299E-2,-4.278182983E-3,4.649294975E-2
5.769129390E-1,-6.453171372E-4,2.483777702E-2,2.878189087E-3,2.501230845E-2
5.817676780E-1,1.363578439E-2,1.514942944E-2,-4.266738892E-3,2.082414198E-2
5.866223660E-1,8.749753237E-3,-1.106211543E-2,1.000785828E-2,1.729409746E-2
5.914771050E-1,1.533739269E-3,9.542703629E-4,5.173683167E-3,5.479962188E-3
5.963317930E-1,3.845050931E-3,-1.086680591E-2,5.128860474E-3,1.261654062E-2
6.011865320E-1,-8.074954152E-3,1.298601925E-2,-2.035140991E-3,1.542670994E-2
6.060412720E-1,8.619450033E-3,3.375738859E-3,1.222419739E-2,1.533367319E-2
6.108959590E-1,-1.993019134E-2,-1.564764977E-2,7.371902466E-3,2.638951337E-2
6.157506990E-1,3.985814750E-3,-1.786512882E-2,4.936218262E-3,1.895826462E-2
6.206053860E-1,-7.869750261E-4,-3.433935344E-2,7.268905640E-3,3.510908022E-2
6.254601260E-1,-1.739071682E-2,-1.984147727E-2,-1.178359985E-2,2.889592493E-2
6.303148140E-1,-6.176382303E-4,-3.061398864E-3,4.933357239E-3,5.838805840E-3
6.351695530E-1,6.490394473E-3,-2.203358710E-2,9.639739990E-3,2.491041485E-2
6.400242410E-1,1.113636047E-2,1.372839510E-2,-2.309799194E-3,1.782757776E-2
6.448789800E-1,1.556083560E-3,8.832320571E-3,-2.290725708E-3,9.256279327E-3
6.497337200E-1,-8.215010166E-4,6.380036473E-3,-4.646301270E-3,7.935228088E-3
6.545884070E-1,6.317324936E-3,2.294136584E-2,1.411437988E-4,2.379568832E-2
6.594431470E-1,8.648768067E-3,1.562298834E-2,1.201152802E-2,2.152105386E-2
6.642978340E-1,-9.099692106E-4,1.076884568E-2,9.535789490E-3,1.441274999E-2
6.691525740E-1,-8.043572307E-3,1.206636429E-3,2.333641052E-3,8.461731944E-3
6.740072610E-1,1.500479877E-3,1.068864763E-2,-7.182121277E-3,1.296462472E-2
6.788620010E-1,1.468002796E-3,1.299850643E-2,2.374172211E-2,2.710692845E-2
6.837167410E-1,1.571018994E-2,-2.510070056E-2,4.550933838E-3,2.995940979E-2
6.885714280E-1,-8.152261376E-3,8.370891213E-3,9.260177612E-3,1.490912723E-2
6.934261680E-1,-1.044894755E-2,3.577411175E-3,-7.434844971E-3,1.331372582E-2
6.982808550E-1,6.237186491E-3,-2.254323661E-2,2.122879028E-3,2.348630724E-2
7.031355950E-1,-5.675591528E-3,1.087793708E-2,-5.017280579E-3,1.325575191E-2
7.079902820E-1,-2.461194992E-2,1.793429255E-2,-1.447200775E-2,3.371684945E-2
7.128450220E-1,-1.018193364E-2,-1.070924103E-2,-9.601593018E-3,1.762243470E-2
7.176997610E-1,4.128642380E-3,-5.876436830E-3,-1.189517975E-2,1.389508902E-2
7.225544490E-1,4.045993090E-3,1.078683138E-2,-1.179599762E-2,1.648852180E-2
7.274091890E-1,-7.555931807E-4,-1.536503434E-2,1.707077026E-4,1.538454882E-2
7.322638760E-1,1.350552589E-2,-3.655090183E-2,-4.580497742E-3,3.923453343E-2
7.371186160E-1,-7.935315371E-3,3.022506833E-2,1.207828522E-2,3.350237244E-2
7.419733030E-1,6.356537342E-3,1.332029700E-2,-4.641532898E-3,1.547190056E-2
7.468280430E-1,-3.153994679E-3,2.270112932E-2,1.459121704E-4,2.291964758E-2
7.516827300E-1,8.723460138E-3,1.169204712E-3,-1.647472382E-2,1.867839183E-2
7.565374700E-1,-1.511028036E-2,-3.564283252E-3,-1.396369934E-2,2.088084259E-2
7.613922090E-1,2.535618842E-2,8.360952139E-3,-6.724357605E-3,2.753286757E-2
7.662468970E-1,-1.520651206E-2,1.164525747E-3,-1.919746399E-3,1.537138756E-2
7.711016360E-1,3.951609135E-3,-1.784267277E-2,-1.852321625E-2,2.602087098E-2
7.759563240E-1,6.272859871E-3,1.797211170E-2,-8.872985840E-3,2.100179630E-2
7.808110640E-1,-3.295555711E-3,2.256610990E-2,-4.051208496E-3,2.316251915E-2
7.856657510E-1,-8.036352694E-3,1.064628363E-3,-1.351547241E-2,1.576021550E-2
7.905204910E-1,1.478545368E-3,1.109406352E-3,1.033878326E-2,1.050272909E-2
7.953752300E-1,-8.021235466E-3,-8.400723338E-3,-8.739471436E-3,1.453584301E-2
8.002299180E-1,3.897190094E-3,-1.213043928E-3,5.578041077E-3,6.911881687E-3
8.050846570E-1,1.471005380E-3,1.195788383E-3,-8.712768555E-3,8.916619459E-3
8.099393450E-1,-8.086487651E-3,-1.221954823E-3,-3.891944885E-3,9.057134818E-3
8.147940840E-1,-1.990940422E-2,1.537363231E-2,8.011817932E-3,2.639928358E-2
8.196487720E-1,-7.698759437E-4,1.998929679E-2,-1.550674438E-3,2.006412935E-2
8.245035110E-1,-5.531303585E-3,1.744405925E-2,-1.578330994E-2,2.416616219E-2
8.293582510E-1,-7.849417627E-3,1.257473230E-2,-8.528709412E-3,1.710193363E-2
8.342129390E-1,-5.399927497E-3,-8.873030543E-3,-6.083488464E-3,1.203738842E-2
8.390676780E-1,1.777447760E-3,1.734086871E-2,1.089096069E-3,1.746571437E-2
8.439223660E-1,8.865527809E-3,2.191102505E-2,-8.415222168E-3,2.508996943E-2
8.487771050E-1,1.832727343E-2,-3.525584936E-2,1.151084900E-3,3.975158943E-2
8.536317930E-1,1.578124613E-2,-1.357040554E-2,-3.606796265E-3,2.112374529E-2
8.584865320E-1,3.788530827E-3,3.157213330E-3,-1.307392120E-2,1.397313055E-2
8.633412720E-1,1.391530037E-3,-8.743897080E-3,6.029129028E-3,1.071179205E-2
8.681959590E-1,-9.846836329E-4,1.512408257E-2,-1.301574707E-2,1.997791649E-2
8.730506990E-1,1.324844360E-2,-1.596197486E-3,-1.290702820E-2,1.856503383E-2
8.779053860E-1,-2.249413729E-2,1.743507385E-2,-1.279926300E-2,3.120559479E-2
8.827601260E-1,8.566774428E-3,5.414530635E-3,3.926277161E-3,1.086841380E-2
8.876148140E-1,-8.143201470E-3,2.438715100E-2,1.101589203E-2,2.797131998E-2
8.924695530E-1,-8.095301688E-3,3.845359385E-2,8.550643921E-3,4.021599558E-2
8.973242410E-1,-1.986077428E-2,7.236063480E-3,1.797676086E-2,2.774842159E-2
9.021789800E-1,-7.815398276E-3,-7.073432207E-3,3.581047058E-3,1.113273513E-2
9.070337200E-1,-5.883947015E-4,7.254511118E-3,-3.572463989E-3,8.107813444E-3
9.118884070E-1,-1.959580928E-2,-4.652351141E-3,8.328437805E-3,2.179456329E-2
9.167431470E-1,1.141145080E-2,1.921084523E-2,-1.785755157E-2,2.860366991E-2
9.215978340E-1,-2.948082983E-3,-7.011204958E-3,-1.058673859E-2,1.303561361E-2
9.264525740E-1,-5.287319422E-3,2.387706935E-2,-8.124351501E-3,2.576965803E-2
9.313072610E-1,-2.889066935E-3,-7.161051035E-3,-9.346008301E-4,7.778228487E-3
9.361620010E-1,-1.950357854E-2,-1.422835141E-2,-5.675315857E-3,2.480009617E-2
9.410167410E-1,-2.407980710E-2,-6.991848350E-3,1.336574554E-2,2.841419025E-2
9.458714280E-1,-1.915080845E-2,4.961937666E-3,1.087856293E-2,2.257692231E-2
9.507261680E-1,-1.800805330E-5,7.319524884E-3,-1.057815552E-2,1.286363646E-2
9.555808550E-1,-4.786111414E-3,7.254227996E-3,-1.286602020E-2,1.552627329E-2
9.604355950E-1,-4.765368998E-3,-1.177509129E-2,-3.261566162E-3,1.311485152E-2
9.652902820E-1,-7.090680301E-3,1.683759689E-2,-1.985359192E-2,2.698050274E-2
9.701450220E-1,4.179030657E-5,3.093788028E-2,6.427764893E-3,3.159858136E-2
9.749997610E-1,9.489402175E-3,2.117893100E-2,1.626014709E-3,2.326456094E-2
9.798544490E-1,4.642881453E-3,4.407748580E-3,1.612663269E-3,6.601914764E-3
9.847091890E-1,9.333759546E-3,3.051075339E-2,-7.743835449E-4,3.191590215E-2
9.895638760E-1,-7.383018732E-3,2.787803113E-2,-7.677078247E-4,2.884931474E-2
9.944186160E-1,-2.181977034E-4,1.102192700E-2,3.986358643E-3,1.172269339E-2
9.992733030E-1,-4.955545068E-3,2.519975603E-2,-5.542755127E-3,2.627369911E-2
1.004128043E0,-1.277476549E-4,1.273065805E-3,-7.486343384E-4,1.482386380E-3
1.008982782E0,-2.385861427E-2,1.287013292E-3,-1.023864746E-2,2.599461059E-2
1.013837470E0,-4.657067358E-3,6.049156189E-3,-3.031730652E-3,8.214131587E-3
1.018692209E0,1.973211765E-4,1.314593852E-2,-2.200031281E-2,2.562944398E-2
1.023546897E0,-2.168506384E-3,-2.014824003E-2,-2.824783325E-3,2.046053267E-2
1.028401636E0,-1.160799712E-2,2.277866006E-2,-5.175590515E-3,2.608447217E-2
1.033256324E0,9.894266725E-3,-2.009194344E-2,-2.759933472E-3,2.256545896E-2
1.038111064E0,5.073055625E-3,-8.029207587E-3,1.388359070E-2,1.682136019E-2
1.042965751E0,2.637856454E-2,2.049385011E-2,-9.972572327E-3,3.486084850E-2
1.047820491E0,2.426795661E-3,6.073683500E-3,-1.938724518E-2,2.046079774E-2
1.052675230E0,1.191229373E-2,-1.534857601E-2,-1.447677612E-2,2.422929166E-2
1.057529918E0,-2.392828465E-3,8.545160294E-3,-2.486228943E-3,9.215569807E-3
1.062384657E0,1.663023978E-2,1.324656606E-2,-7.212638855E-3,2.245124822E-2
1.067239345E0,1.175332069E-2,1.289799809E-3,-9.526252747E-3,1.518399230E-2
1.072094084E0,-1.207698137E-2,-1.537337154E-2,-2.326011658E-3,1.968767030E-2
1.076948772E0,2.306744456E-3,1.326929033E-2,-4.681587219E-3,1.425876554E-2
1.081803511E0,2.296648920E-3,-3.435537219E-3,2.479553223E-3,4.819304558E-3
1.086658199E0,2.258777618E-3,-1.053431630E-2,2.458572388E-3,1.105072280E-2
1.091512939E0,2.219989896E-3,-9.833127260E-4,-2.309799194E-3,3.351183578E-3
1.096367678E0,-4.940085113E-3,-9.507834911E-4,1.195430756E-2,1.296973012E-2
1.101222366E0,2.204388380E-3,3.947107494E-2,9.479522705E-3,4.065324631E-2
1.106077105E0,4.511944950E-3,-5.971401930E-3,7.026672363E-3,1.026593458E-2
1.110931793E0,-1.453838870E-2,2.734097838E-2,9.342193604E-3,3.234455791E-2
1.115786532E0,-2.566039562E-3,-8.503586054E-3,1.163768768E-2,1.464005838E-2
1.120641272E0,-7.283002138E-3,3.904549778E-2,2.044677734E-3,3.977151900E-2
1.125495959E0,-1.196106523E-2,-4.019066691E-3,6.775856018E-3,1.432243706E-2
1.130350699E0,-7.103554904E-3,-3.990098834E-3,1.971244812E-3,8.382552541E-3
1.135205386E0,9.584210813E-3,-1.580303162E-2,4.328727722E-3,1.898238102E-2
1.140060126E0,-4.089623690E-5,3.317326307E-3,9.040832520E-3,9.630315622E-3
1.144914814E0,-9.556688368E-3,2.227833867E-2,-1.240253448E-2,2.723008498E-2
1.149769553E0,9.526498616E-3,1.256202161E-2,-5.175590515E-3,1.659353187E-2
1.154624241E0,2.367286384E-2,-2.790791541E-2,4.364013672E-3,3.685513316E-2
1.159478980E0,-5.033738911E-3,8.099079132E-4,4.327774048E-3,6.687608426E-3
