"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.172854166E-2,-1.032673102E-2,-8.823564907E-3,2.380401492E-3,1.378995948E-2
6.176154166E-2,-8.949117875E-3,3.776630937E-3,4.625147581E-3,1.075832897E-2
7.179454167E-2,-3.894994799E-3,-7.392295565E-3,1.345327377E-2,1.583690606E-2
8.182754167E-2,4.350730442E-3,-8.951412222E-3,5.765354633E-4,9.969404660E-3
9.186054167E-2,8.088873681E-3,-4.393828532E-4,1.419645488E-2,1.634509914E-2
1.018935417E-1,-5.167568196E-4,3.876722250E-3,3.866763711E-3,5.499806779E-3
1.119265417E-1,2.339297393E-3,-1.391657197E-2,-4.765480757E-4,1.411985785E-2
1.219595417E-1,-3.373021167E-4,-7.379941038E-3,6.857614517E-3,1.007988985E-2
1.319925417E-1,1.154554658E-2,-8.318583603E-3,1.898181617E-2,2.372357107E-2
1.420255417E-1,3.050410179E-3,3.806869722E-3,9.101191163E-3,1.032612899E-2
1.520575417E-1,3.590893904E-3,-4.807177571E-3,8.802398443E-3,1.065296642E-2
1.620905417E-1,1.325575666E-2,2.659059005E-3,1.044955909E-2,1.708739198E-2
1.721235417E-1,1.357421977E-2,3.447109500E-3,1.319716573E-3,1.406711265E-2
1.821565417E-1,7.258011745E-3,-6.229415706E-3,7.010226846E-3,1.185865232E-2
1.921895417E-1,-1.956012407E-3,6.638073839E-3,1.285101056E-2,1.459583781E-2
2.022225417E-1,-8.917935770E-3,7.793296929E-3,-1.988053322E-5,1.184337159E-2
2.122555417E-1,-2.883389946E-3,4.511238224E-3,-4.509372711E-3,6.999975010E-3
2.222885417E-1,-4.675744269E-3,-1.016182583E-2,7.343518138E-3,1.338105180E-2
2.323215417E-1,-9.083375428E-4,-1.380155883E-3,9.888226390E-3,1.002531438E-2
2.423545417E-1,1.143653255E-2,8.660160354E-5,7.536476254E-3,1.369672409E-2
2.523875417E-1,-9.852832463E-3,1.080938327E-2,1.085418642E-2,1.821357837E-2
2.624205417E-1,-4.474262008E-3,-2.007867046E-3,6.360016465E-3,8.031211617E-3
2.724535417E-1,8.830821393E-3,-5.755964827E-3,-5.455452204E-4,1.055519574E-2
2.824865417E-1,5.202176403E-3,-1.420904238E-3,6.464681625E-3,8.418652903E-3
2.925195417E-1,-1.751460359E-3,-1.050892775E-2,6.903807521E-3,1.269518547E-2
3.025525417E-1,-5.757716708E-3,1.813764497E-2,1.955308914E-3,1.912978567E-2
3.125855417E-1,-8.061574493E-3,8.641073535E-3,1.048581183E-2,1.579903114E-2
3.226185417E-1,4.607203938E-3,5.546101177E-3,1.289661884E-2,1.477526122E-2
3.326515417E-1,-1.046892799E-2,6.990876216E-3,9.298827052E-3,1.565052677E-2
3.426845417E-1,6.602977412E-3,-5.323775648E-4,8.699487448E-3,1.093452415E-2
3.527172500E-1,2.651292030E-3,4.738480782E-3,7.759255171E-4,5.484943933E-3
3.627502500E-1,5.332450541E-3,2.668230683E-3,4.671340585E-3,7.574688548E-3
