"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.851280000E-1,-7.367921127E-3,6.946126744E-3,7.099689245E-3,1.236691254E-2
5.951610000E-1,-1.093263960E-2,-6.027858071E-3,-5.472993851E-3,1.363126345E-2
6.051940000E-1,-1.593519755E-2,6.578894192E-4,7.700783014E-3,1.771060130E-2
6.152270000E-1,-8.544243872E-3,2.905104586E-3,3.807706833E-3,9.795017475E-3
6.252600000E-1,-4.577401411E-3,2.982719522E-3,9.047981501E-3,1.056954061E-2
6.352930000E-1,-3.085868061E-4,-3.052585755E-3,2.013196349E-3,3.669668261E-3
6.453260000E-1,2.834209381E-3,4.793644465E-3,1.773109674E-2,1.858503597E-2
6.553590000E-1,1.288679735E-2,8.732410013E-3,1.294222713E-2,2.024415406E-2
6.653920000E-1,5.704077641E-3,7.336097199E-3,2.312573791E-3,9.576159010E-3
6.754250000E-1,1.277871522E-2,1.772779855E-3,2.163469791E-4,1.290291119E-2
6.854580000E-1,1.321118991E-2,1.304702819E-2,2.296669364E-2,2.953353179E-2
6.954910000E-1,4.701472018E-3,3.789743775E-3,5.004047155E-3,7.842607025E-3
7.055240000E-1,-5.999827981E-3,-2.793008209E-3,9.343850613E-3,1.145016921E-2
7.155570000E-1,-5.000310419E-3,2.683387762E-3,-5.177709460E-3,7.681949585E-3
7.255900000E-1,-1.649034499E-2,-9.661707311E-3,7.246454358E-3,2.043994048E-2
7.356230000E-1,-9.013199704E-3,-6.317426580E-3,2.458754182E-3,1.127799271E-2
7.456570000E-1,-1.543878721E-2,4.458312357E-3,4.855527878E-3,1.678716327E-2
7.556900000E-1,-3.374482971E-3,-2.250239274E-3,-3.526455760E-3,5.374625786E-3
7.657230000E-1,-9.598213630E-3,-8.610789069E-3,1.518638849E-2,1.992229376E-2
7.757560000E-1,1.206700858E-3,-4.968025109E-3,3.360394835E-3,6.117977925E-3
7.857891250E-1,4.857720584E-3,2.652808651E-4,4.108253717E-3,6.367540484E-3
7.958221250E-1,-1.982937008E-4,6.371001693E-3,-6.823700666E-4,6.410507926E-3
8.058551250E-1,9.228541693E-3,-9.519623397E-3,1.084132254E-2,1.712668928E-2
8.158881250E-1,-3.255373361E-3,1.342754831E-3,1.622894704E-2,1.660660015E-2
8.259211250E-1,-9.185062163E-4,-1.241556087E-2,9.639719725E-3,1.574528507E-2
8.359541250E-1,1.549450935E-2,-2.745727989E-3,5.147303939E-3,1.655637581E-2
8.459871250E-1,6.508215973E-3,-7.775855782E-3,-3.935176134E-4,1.014769257E-2
8.560201250E-1,-4.152509831E-3,7.511341221E-3,1.517469406E-2,1.743372951E-2
8.660531250E-1,-1.044960477E-2,2.718656065E-3,2.415601730E-2,2.645937457E-2
8.760861250E-1,-9.085175274E-3,-3.743884246E-3,-1.889820099E-3,1.000642289E-2
8.861191250E-1,-7.888917178E-3,4.661473408E-3,1.128278732E-2,1.453497982E-2
8.961521250E-1,3.128963867E-3,-3.174729750E-4,2.654986739E-2,2.673549443E-2
9.061851250E-1,5.884784013E-3,4.066357047E-3,1.008293867E-2,1.236250762E-2
9.162181250E-1,1.523270027E-2,6.502916934E-3,3.946870565E-3,1.702647566E-2
9.262511250E-1,1.612172373E-2,-2.454726227E-3,2.749360800E-3,1.653767340E-2
9.362851250E-1,6.733845407E-3,9.132738719E-3,1.652013838E-2,2.004162076E-2
9.463181250E-1,6.972192535E-3,-1.745366463E-3,3.046984076E-3,7.806528345E-3
9.563511250E-1,8.254276793E-3,9.742135077E-4,-1.145469546E-3,8.390129786E-3
9.663841250E-1,-2.851157170E-3,-1.882273536E-3,-2.192705870E-3,4.059557846E-3
9.764171250E-1,-4.523332939E-3,-1.210658920E-2,7.087994814E-3,1.474007169E-2
9.864501250E-1,-1.573705003E-3,-9.633316338E-3,4.094805121E-3,1.058511975E-2
9.964831250E-1,-7.203833638E-3,-9.479786956E-4,1.251888871E-3,7.372998605E-3
1.006516125E0,-1.296969077E-2,9.072270286E-3,6.192786098E-3,1.699616328E-2
1.016549125E0,-7.647344945E-3,-1.200013447E-2,9.786484838E-3,1.727021707E-2
1.026582125E0,-1.051191417E-2,-8.215204374E-3,1.367897630E-2,1.910770302E-2
1.036615125E0,2.843345655E-3,1.157797921E-2,2.900803685E-3,1.226983615E-2
1.046648125E0,1.489387239E-2,-7.548725714E-3,2.899634242E-3,1.694752411E-2
1.056681125E0,9.526027925E-3,-9.625875985E-4,7.689673305E-3,1.228018153E-2
1.066714125E0,1.073657515E-2,4.535537859E-3,1.397601485E-2,1.819819059E-2
1.076747125E0,1.052127885E-2,1.972287538E-3,-1.592781544E-3,1.082239252E-2
