"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.768766064652756E9,"2026-01-18 20:54:24.653 UTC+01:00"
"PAUSE",1.603630245832756E1,1.768766080688583E9,"2026-01-18 20:54:40.689 UTC+01:00"
